direction,source_rule,target_rule,edge_kind,jump_delta,source_line,source_region,target_region,cross_boundary,source_fact_evidence,target_resolution_evidence,boundary_classification_evidence,raw_jump_or_successor,source_source_lines,source_state_reads,source_state_reads_evidence_class,source_state_writes,source_state_writes_evidence_class,source_escrow_mutations,source_escrow_mutations_evidence_class,source_command_issuance,source_command_issuance_evidence_class,source_pending_object_guards,source_pending_object_guards_evidence_class,source_world_state_milestones,source_world_state_milestones_evidence_class,target_source_lines,target_state_reads,target_state_reads_evidence_class,target_state_writes,target_state_writes_evidence_class,target_escrow_mutations,target_escrow_mutations_evidence_class,target_command_issuance,target_command_issuance_evidence_class,target_pending_object_guards,target_pending_object_guards_evidence_class,target_world_state_milestones,target_world_state_milestones_evidence_class,transition_state_effect,transition_state_effect_evidence_class
OUTGOING,1802,1803,fall-through,,20925,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1802 -> rule 1803,20925-20929,NONE,NONE,(set-goal SPLIT 0),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,20932-20943,building-type-count-total archery-range >= 2; can-build gl-escrow-state c: farm; goal:gl-build-progress; goal:gl-escrow-state; goal:gl-second-turn; goal:gl-strategy; wood-amount >= 250; wood-amount >= 370,DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,(up-build place-normal gl-escrow-state c: farm),DIRECT_DONOR_TEXT,NONE,NONE,"(and(wood-amount >= 250)
    (building-type-count-total archery-range >= 2)); (building-type-count-total archery-range >= 2); (or	(wood-amount >= 370)
    (and(wood-amount >= 250)
    (building-type-count-total archery-range >= 2)))",DIRECT_DONOR_TEXT,writes=(set-goal SPLIT 0),MECHANICALLY_DERIVED
OUTGOING,1803,1804,fall-through,,20932,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1803 -> rule 1804,20932-20943,building-type-count-total archery-range >= 2; can-build gl-escrow-state c: farm; goal:gl-build-progress; goal:gl-escrow-state; goal:gl-second-turn; goal:gl-strategy; wood-amount >= 250; wood-amount >= 370,DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,(up-build place-normal gl-escrow-state c: farm),DIRECT_DONOR_TEXT,NONE,NONE,"(and(wood-amount >= 250)
    (building-type-count-total archery-range >= 2)); (building-type-count-total archery-range >= 2); (or	(wood-amount >= 370)
    (and(wood-amount >= 250)
    (building-type-count-total archery-range >= 2)))",DIRECT_DONOR_TEXT,20949-20963,building-type-count-total farm < 4; can-build-with-escrow farm; current-age == dark-age; goal:gl-current-build-item; goal:gl-strategy; housing-headroom >= 4; up-pending-objects c: farm < 1; wood-amount >= 90,DIRECT_DONOR_TEXT,NONE,NONE,(release-escrow wood),DIRECT_DONOR_TEXT,(build farm),DIRECT_DONOR_TEXT,(up-pending-objects c: farm < 1),DIRECT_DONOR_TEXT,"(building-type-count-total farm < 4); (housing-headroom >= 4); (or	(housing-headroom >= 4)
    (up-pending-objects c: farm < 1)); (or (wood-amount >= 90)		;be sure not to stop housing
    (or	(housing-headroom >= 4)
    (up-pending-objects c: farm < 1)))",DIRECT_DONOR_TEXT,commands=(up-build place-normal gl-escrow-state c: farm),MECHANICALLY_DERIVED
OUTGOING,1804,1805,fall-through,,20949,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1804 -> rule 1805,20949-20963,building-type-count-total farm < 4; can-build-with-escrow farm; current-age == dark-age; goal:gl-current-build-item; goal:gl-strategy; housing-headroom >= 4; up-pending-objects c: farm < 1; wood-amount >= 90,DIRECT_DONOR_TEXT,NONE,NONE,(release-escrow wood),DIRECT_DONOR_TEXT,(build farm),DIRECT_DONOR_TEXT,(up-pending-objects c: farm < 1),DIRECT_DONOR_TEXT,"(building-type-count-total farm < 4); (housing-headroom >= 4); (or	(housing-headroom >= 4)
    (up-pending-objects c: farm < 1)); (or (wood-amount >= 90)		;be sure not to stop housing
    (or	(housing-headroom >= 4)
    (up-pending-objects c: farm < 1)))",DIRECT_DONOR_TEXT,20965-20973,building-type-count-total farm >= 4; goal:gl-current-build-item; goal:gl-strategy,DIRECT_DONOR_TEXT,(disable-self); (up-modify-goal gl-build-progress c:+ 1),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,(building-type-count-total farm >= 4),DIRECT_DONOR_TEXT,escrow=(release-escrow wood) | commands=(build farm),MECHANICALLY_DERIVED
OUTGOING,1805,1806,fall-through,,20965,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1805 -> rule 1806,20965-20973,building-type-count-total farm >= 4; goal:gl-current-build-item; goal:gl-strategy,DIRECT_DONOR_TEXT,(disable-self); (up-modify-goal gl-build-progress c:+ 1),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,(building-type-count-total farm >= 4),DIRECT_DONOR_TEXT,20975-20981,building-type-count-total farm < 4; goal:gl-build-progress; goal:gl-strategy,DIRECT_DONOR_TEXT,(set-goal gl-build-progress KrushFarmsNumber),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,(building-type-count-total farm < 4),DIRECT_DONOR_TEXT,writes=(disable-self); (up-modify-goal gl-build-progress c:+ 1),MECHANICALLY_DERIVED
OUTGOING,1806,1807,fall-through,,20975,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1806 -> rule 1807,20975-20981,building-type-count-total farm < 4; goal:gl-build-progress; goal:gl-strategy,DIRECT_DONOR_TEXT,(set-goal gl-build-progress KrushFarmsNumber),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,(building-type-count-total farm < 4),DIRECT_DONOR_TEXT,20983-20990,goal:gl-build-progress; goal:gl-current-build-item; goal:gl-strategy,DIRECT_DONOR_TEXT,(set-goal gl-current-build-item FARMS),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,writes=(set-goal gl-build-progress KrushFarmsNumber),MECHANICALLY_DERIVED
OUTGOING,1807,1808,fall-through,,20983,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1807 -> rule 1808,20983-20990,goal:gl-build-progress; goal:gl-current-build-item; goal:gl-strategy,DIRECT_DONOR_TEXT,(set-goal gl-current-build-item FARMS),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,20993-21006,building-type-count-total farm < 7; can-build-with-escrow farm; current-age == dark-age; goal:gl-current-build-item; goal:gl-strategy; housing-headroom >= 3; up-pending-objects c: farm < 1; wood-amount >= 90,DIRECT_DONOR_TEXT,NONE,NONE,(release-escrow wood),DIRECT_DONOR_TEXT,(build farm),DIRECT_DONOR_TEXT,(up-pending-objects c: farm < 1),DIRECT_DONOR_TEXT,"(building-type-count-total farm < 7); (housing-headroom >= 3); (or (wood-amount >= 90)
    (housing-headroom >= 3))",DIRECT_DONOR_TEXT,writes=(set-goal gl-current-build-item FARMS),MECHANICALLY_DERIVED
OUTGOING,1808,1809,fall-through,,20993,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1808 -> rule 1809,20993-21006,building-type-count-total farm < 7; can-build-with-escrow farm; current-age == dark-age; goal:gl-current-build-item; goal:gl-strategy; housing-headroom >= 3; up-pending-objects c: farm < 1; wood-amount >= 90,DIRECT_DONOR_TEXT,NONE,NONE,(release-escrow wood),DIRECT_DONOR_TEXT,(build farm),DIRECT_DONOR_TEXT,(up-pending-objects c: farm < 1),DIRECT_DONOR_TEXT,"(building-type-count-total farm < 7); (housing-headroom >= 3); (or (wood-amount >= 90)
    (housing-headroom >= 3))",DIRECT_DONOR_TEXT,21008-21016,building-type-count-total farm >= 7; goal:gl-current-build-item; goal:gl-strategy,DIRECT_DONOR_TEXT,(disable-self); (up-modify-goal gl-build-progress c:+ 1),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,(building-type-count-total farm >= 7),DIRECT_DONOR_TEXT,escrow=(release-escrow wood) | commands=(build farm),MECHANICALLY_DERIVED
OUTGOING,1809,1810,fall-through,,21008,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1809 -> rule 1810,21008-21016,building-type-count-total farm >= 7; goal:gl-current-build-item; goal:gl-strategy,DIRECT_DONOR_TEXT,(disable-self); (up-modify-goal gl-build-progress c:+ 1),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,(building-type-count-total farm >= 7),DIRECT_DONOR_TEXT,21018-21025,goal:gl-build-progress; goal:gl-current-build-item; goal:gl-strategy,DIRECT_DONOR_TEXT,(set-goal gl-current-build-item FARMS2),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,writes=(disable-self); (up-modify-goal gl-build-progress c:+ 1),MECHANICALLY_DERIVED
OUTGOING,1810,1811,fall-through,,21018,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1810 -> rule 1811,21018-21025,goal:gl-build-progress; goal:gl-current-build-item; goal:gl-strategy,DIRECT_DONOR_TEXT,(set-goal gl-current-build-item FARMS2),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,21028-21041,building-type-count-total farm < 2; can-build-with-escrow farm; current-age == dark-age; goal:gl-current-build-item; goal:gl-strategy; up-pending-objects c: farm < 1; wood-amount >= 310,DIRECT_DONOR_TEXT,NONE,NONE,(release-escrow wood); (set-escrow-percentage wood 0),DIRECT_DONOR_TEXT,(build farm),DIRECT_DONOR_TEXT,(up-pending-objects c: farm < 1),DIRECT_DONOR_TEXT,"(building-type-count-total farm < 2); (or	(wood-amount >= 310)
    (building-type-count-total farm < 2))",DIRECT_DONOR_TEXT,writes=(set-goal gl-current-build-item FARMS2),MECHANICALLY_DERIVED
OUTGOING,1811,1812,fall-through,,21028,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1811 -> rule 1812,21028-21041,building-type-count-total farm < 2; can-build-with-escrow farm; current-age == dark-age; goal:gl-current-build-item; goal:gl-strategy; up-pending-objects c: farm < 1; wood-amount >= 310,DIRECT_DONOR_TEXT,NONE,NONE,(release-escrow wood); (set-escrow-percentage wood 0),DIRECT_DONOR_TEXT,(build farm),DIRECT_DONOR_TEXT,(up-pending-objects c: farm < 1),DIRECT_DONOR_TEXT,"(building-type-count-total farm < 2); (or	(wood-amount >= 310)
    (building-type-count-total farm < 2))",DIRECT_DONOR_TEXT,21043-21050,building-type-count-total farm >= 2; goal:gl-current-build-item; goal:gl-strategy,DIRECT_DONOR_TEXT,(up-modify-goal gl-build-progress c:+ 1),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,(building-type-count-total farm >= 2),DIRECT_DONOR_TEXT,escrow=(release-escrow wood); (set-escrow-percentage wood 0) | commands=(build farm),MECHANICALLY_DERIVED
OUTGOING,1812,1813,fall-through,,21043,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1812 -> rule 1813,21043-21050,building-type-count-total farm >= 2; goal:gl-current-build-item; goal:gl-strategy,DIRECT_DONOR_TEXT,(up-modify-goal gl-build-progress c:+ 1),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,(building-type-count-total farm >= 2),DIRECT_DONOR_TEXT,21052-21058,building-type-count-total farm < 2; goal:gl-build-progress; goal:gl-strategy,DIRECT_DONOR_TEXT,(set-goal gl-build-progress FarmsNumber),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,(building-type-count-total farm < 2),DIRECT_DONOR_TEXT,writes=(up-modify-goal gl-build-progress c:+ 1),MECHANICALLY_DERIVED
OUTGOING,1813,1814,fall-through,,21052,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1813 -> rule 1814,21052-21058,building-type-count-total farm < 2; goal:gl-build-progress; goal:gl-strategy,DIRECT_DONOR_TEXT,(set-goal gl-build-progress FarmsNumber),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,(building-type-count-total farm < 2),DIRECT_DONOR_TEXT,21060-21068,goal:gl-build-progress; goal:gl-current-build-item; goal:gl-strategy,DIRECT_DONOR_TEXT,(set-goal gl-current-build-item FARMS),DIRECT_DONOR_TEXT,(set-escrow-percentage wood LOW-ESCROW),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,writes=(set-goal gl-build-progress FarmsNumber),MECHANICALLY_DERIVED
OUTGOING,1814,1815,fall-through,,21060,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1814 -> rule 1815,21060-21068,goal:gl-build-progress; goal:gl-current-build-item; goal:gl-strategy,DIRECT_DONOR_TEXT,(set-goal gl-current-build-item FARMS),DIRECT_DONOR_TEXT,(set-escrow-percentage wood LOW-ESCROW),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,21071-21076,NONE,NONE,NONE,NONE,NONE,NONE,(up-assign-builders c: house c: 1),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,writes=(set-goal gl-current-build-item FARMS) | escrow=(set-escrow-percentage wood LOW-ESCROW),MECHANICALLY_DERIVED
OUTGOING,1815,1816,fall-through,,21071,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1815 -> rule 1816,21071-21076,NONE,NONE,NONE,NONE,NONE,NONE,(up-assign-builders c: house c: 1),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,21078-21086,game-time >= 50; goal:gl-fifth-turn; housing-headroom < 2,DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,(up-assign-builders c: house c: 3),DIRECT_DONOR_TEXT,NONE,NONE,(housing-headroom < 2),DIRECT_DONOR_TEXT,commands=(up-assign-builders c: house c: 1),MECHANICALLY_DERIVED
