direction,source_rule,target_rule,edge_kind,jump_delta,source_line,source_region,target_region,cross_boundary,source_fact_evidence,target_resolution_evidence,boundary_classification_evidence,raw_jump_or_successor
OUTGOING,1818,1819,fall-through,,21101,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1818 -> rule 1819
OUTGOING,1819,1820,fall-through,,21113,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1819 -> rule 1820
OUTGOING,1820,1821,fall-through,,21122,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1820 -> rule 1821
OUTGOING,1821,1822,fall-through,,21136,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1821 -> rule 1822
OUTGOING,1822,1823,fall-through,,21142,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1822 -> rule 1823
OUTGOING,1823,1824,fall-through,,21149,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1823 -> rule 1824
OUTGOING,1824,1825,fall-through,,21164,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1824 -> rule 1825
OUTGOING,1825,1826,fall-through,,21180,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1825 -> rule 1826
OUTGOING,1826,1827,fall-through,,21195,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1826 -> rule 1827
OUTGOING,1827,1828,fall-through,,21210,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1827 -> rule 1828
OUTGOING,1828,1829,fall-through,,21222,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1828 -> rule 1829
OUTGOING,1829,1830,fall-through,,21238,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1829 -> rule 1830
OUTGOING,1830,1831,fall-through,,21246,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1830 -> rule 1831
OUTGOING,1831,1832,fall-through,,21254,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1831 -> rule 1832
OUTGOING,1832,1833,fall-through,,21267,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1832 -> rule 1833
OUTGOING,1833,1834,fall-through,,21276,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1833 -> rule 1834
OUTGOING,1834,1835,fall-through,,21290,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1834 -> rule 1835
OUTGOING,1835,1836,fall-through,,21299,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1835 -> rule 1836
OUTGOING,1836,1837,fall-through,,21316,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1836 -> rule 1837
OUTGOING,1837,1838,fall-through,,21324,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1837 -> rule 1838
OUTGOING,1838,1839,fall-through,,21335,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1838 -> rule 1839
OUTGOING,1839,1840,fall-through,,21344,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1839 -> rule 1840
OUTGOING,1840,1841,fall-through,,21361,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1840 -> rule 1841
OUTGOING,1841,1842,fall-through,,21369,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1841 -> rule 1842
OUTGOING,1842,1843,fall-through,,21380,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1842 -> rule 1843
OUTGOING,1843,1844,fall-through,,21394,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1843 -> rule 1844
OUTGOING,1844,1845,fall-through,,21402,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1844 -> rule 1845
OUTGOING,1845,1846,fall-through,,21412,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1845 -> rule 1846
OUTGOING,1846,1847,fall-through,,21422,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1846 -> rule 1847
OUTGOING,1847,1848,fall-through,,21436,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1847 -> rule 1848
OUTGOING,1848,1849,fall-through,,21444,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1848 -> rule 1849
OUTGOING,1849,1850,fall-through,,21454,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1849 -> rule 1850
OUTGOING,1850,1851,fall-through,,21464,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1850 -> rule 1851
OUTGOING,1850,1854,up-jump,4,21464,R07,R07,NO,DIRECT_DONOR_TEXT,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,(up-jump-rule 4)
OUTGOING,1851,1852,fall-through,,21470,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1851 -> rule 1852
OUTGOING,1852,1853,fall-through,,21481,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1852 -> rule 1853
OUTGOING,1853,1854,fall-through,,21489,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1853 -> rule 1854
OUTGOING,1854,1855,fall-through,,21499,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1854 -> rule 1855
OUTGOING,1855,1856,fall-through,,21509,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1855 -> rule 1856
OUTGOING,1856,1857,fall-through,,21527,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1856 -> rule 1857
OUTGOING,1857,1858,fall-through,,21538,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1857 -> rule 1858
OUTGOING,1858,1859,fall-through,,21553,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1858 -> rule 1859
OUTGOING,1859,1860,fall-through,,21567,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1859 -> rule 1860
OUTGOING,1860,1861,fall-through,,21577,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1860 -> rule 1861
OUTGOING,1861,1862,fall-through,,21590,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1861 -> rule 1862
OUTGOING,1862,1863,fall-through,,21600,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1862 -> rule 1863
OUTGOING,1863,1864,fall-through,,21609,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1863 -> rule 1864
OUTGOING,1864,1865,fall-through,,21623,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1864 -> rule 1865
OUTGOING,1865,1866,fall-through,,21635,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1865 -> rule 1866
OUTGOING,1866,1867,fall-through,,21651,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1866 -> rule 1867
OUTGOING,1867,1868,fall-through,,21667,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1867 -> rule 1868
OUTGOING,1868,1869,fall-through,,21675,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1868 -> rule 1869
OUTGOING,1869,1870,fall-through,,21684,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1869 -> rule 1870
OUTGOING,1870,1871,fall-through,,21693,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1870 -> rule 1871
OUTGOING,1871,1872,fall-through,,21706,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1871 -> rule 1872
OUTGOING,1872,1873,fall-through,,21718,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1872 -> rule 1873
OUTGOING,1873,1874,fall-through,,21724,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1873 -> rule 1874
OUTGOING,1874,1875,fall-through,,21730,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1874 -> rule 1875
OUTGOING,1875,1876,fall-through,,21736,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1875 -> rule 1876
OUTGOING,1876,1877,fall-through,,21748,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1876 -> rule 1877
OUTGOING,1877,1878,fall-through,,21766,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1877 -> rule 1878
OUTGOING,1878,1879,fall-through,,21781,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1878 -> rule 1879
OUTGOING,1879,1880,fall-through,,21798,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1879 -> rule 1880
OUTGOING,1880,1881,fall-through,,21811,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1880 -> rule 1881
OUTGOING,1881,1882,fall-through,,21829,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1881 -> rule 1882
OUTGOING,1882,1883,fall-through,,21837,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1882 -> rule 1883
OUTGOING,1883,1884,fall-through,,21846,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1883 -> rule 1884
OUTGOING,1884,1885,fall-through,,21857,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1884 -> rule 1885
OUTGOING,1885,1886,fall-through,,21872,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1885 -> rule 1886
OUTGOING,1886,1887,fall-through,,21889,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1886 -> rule 1887
OUTGOING,1887,1888,fall-through,,21902,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1887 -> rule 1888
OUTGOING,1888,1889,fall-through,,21920,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1888 -> rule 1889
OUTGOING,1889,1890,fall-through,,21928,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1889 -> rule 1890
OUTGOING,1890,1891,fall-through,,21938,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1890 -> rule 1891
OUTGOING,1891,1892,fall-through,,21948,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1891 -> rule 1892
OUTGOING,1891,1896,up-jump,5,21948,R07,R07,NO,DIRECT_DONOR_TEXT,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,(up-jump-rule 5)
OUTGOING,1892,1893,fall-through,,21954,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1892 -> rule 1893
OUTGOING,1893,1894,fall-through,,21969,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1893 -> rule 1894
OUTGOING,1894,1895,fall-through,,21989,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1894 -> rule 1895
OUTGOING,1895,1896,fall-through,,21997,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1895 -> rule 1896
OUTGOING,1896,1897,fall-through,,22007,R07,OUTSIDE_R07,YES,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1896 -> rule 1897
